col1,col2,col3,col4,col5,col6,col7,col8
2014,Nazaré da Mata,2609501,NORMAL,CANA,408,399,"R$ 322287,80"
2015,Nazaré da Mata,2609501,NORMAL,CANA,380,380,"R$ 310354,60"
2016,Nazaré da Mata,2609501,NORMAL,CANA,406,406,"R$ 340942,80"
2017,Nazaré da Mata,2609501,NORMAL,CANA,459,457,"R$ 383529,80"
2018,Nazaré da Mata,2609501,NORMAL,CANA,387,382,"R$ 360071,60"
2019,Nazaré da Mata,2609501,NORMAL,CANA,329,302,"R$ 318319,60"
2020,Nazaré da Mata,2609501,NORMAL,CANA,329,299,"R$ 318319,60"
2021,Nazaré da Mata,2609501,NORMAL,CANA,329,294,"R$ 303887,60"
2012,Olinda,2609600,NORMAL,PESCA,,,"R$ 11222,00"
2013,Olinda,2609600,NORMAL,PESCA,226,223,"R$ 180504,08"
2014,Olinda,2609600,NORMAL,PESCA,270,265,"R$ 207144,80"
2015,Olinda,2609600,NORMAL,PESCA,249,248,"R$ 195577,76"
2016,Olinda,2609600,NORMAL,PESCA,206,205,"R$ 164282,88"
2017,Olinda,2609600,NORMAL,PESCA,189,189,"R$ 153663,04"
2018,Olinda,2609600,NORMAL,PESCA,191,191,"R$ 173503,60"
2019,Olinda,2609600,NORMAL,PESCA,118,98,"R$ 87606,80"
2020,Olinda,2609600,NORMAL,PESCA,118,112,"R$ 100273,40"
2021,Olinda,2609600,NORMAL,PESCA,118,111,"R$ 101140,80"
2013,Orocó,2609808,NORMAL,FRUTA,9,9,"R$ 6551,30"
2014,Orocó,2609808,NORMAL,FRUTA,6,6,"R$ 5914,80"
2015,Orocó,2609808,NORMAL,FRUTA,6,6,"R$ 5329,00"
2016,Orocó,2609808,NORMAL,FRUTA,8,8,"R$ 7570,40"
2017,Orocó,2609808,NORMAL,FRUTA,3,3,"R$ 2023,60"
2018,Orocó,2609808,NORMAL,FRUTA,6,6,"R$ 5474,00"
2020,Orocó,2609808,NORMAL,FRUTA,1,1,"R$ 1080,40"
2021,Orocó,2609808,NORMAL,FRUTA,1,1,"R$ 1084,40"
2022,Orocó,2609808,NORMAL,FRUTA,2,2,"R$ 824,40"
2013,Palmares,2610004,NORMAL,CANA,869,845,"R$ 679700,10"
2014,Palmares,2610004,NORMAL,CANA,1032,1003,"R$ 780775,75"
2015,Palmares,2610004,NORMAL,CANA,733,733,"R$ 568151,90"
2016,Palmares,2610004,NORMAL,CANA,681,675,"R$ 540430,30"
2017,Palmares,2610004,NORMAL,CANA,644,644,"R$ 517252,80"
2018,Palmares,2610004,NORMAL,CANA,766,764,"R$ 649680,40"
2019,Palmares,2610004,NORMAL,CANA,489,479,"R$ 490454,80"
2020,Palmares,2610004,NORMAL,CANA,489,478,"R$ 490454,80"
2021,Palmares,2610004,NORMAL,CANA,489,477,"R$ 492044,80"
2012,Parnamirim,2610400,NORMAL,PESCA,,,"R$ 150246,00"
2013,Parnamirim,2610400,NORMAL,PESCA,27,27,"R$ 27704,16"
2014,Parnamirim,2610400,NORMAL,PESCA,29,28,"R$ 16533,12"
2015,Parnamirim,2610400,NORMAL,PESCA,37,37,"R$ 21645,80"
2016,Parnamirim,2610400,NORMAL,PESCA,4,2,"R$ 2052,16"
2017,Parnamirim,2610400,NORMAL,PESCA,7,7,"R$ 4938,40"
2018,Parnamirim,2610400,NORMAL,PESCA,6,6,"R$ 4582,80"
2019,Parnamirim,2610400,NORMAL,PESCA,4,0,"R$ 0,00"
2020,Parnamirim,2610400,NORMAL,PESCA,4,0,"R$ 0,00"
2021,Parnamirim,2610400,NORMAL,PESCA,4,0,"R$ 0,00"
2013,Paudalho,2610608,NORMAL,CANA,248,247,"R$ 210380,00"
2014,Paudalho,2610608,NORMAL,CANA,217,216,"R$ 181790,55"
2015,Paudalho,2610608,NORMAL,CANA,295,295,"R$ 248295,20"
2016,Paudalho,2610608,NORMAL,CANA,292,270,"R$ 242433,25"
2017,Paudalho,2610608,NORMAL,CANA,271,271,"R$ 242661,40"
2018,Paudalho,2610608,NORMAL,CANA,293,293,"R$ 277020,00"
2019,Paudalho,2610608,NORMAL,CANA,200,196,"R$ 203036,40"
2020,Paudalho,2610608,NORMAL,CANA,200,197,"R$ 203036,40"
2021,Paudalho,2610608,NORMAL,CANA,200,196,"R$ 200519,60"
2012,Paudalho,2610608,NORMAL,PESCA,,,"R$ 34690,50"
2013,Paudalho,2610608,NORMAL,PESCA,15,15,"R$ 12303,56"
2014,Paudalho,2610608,NORMAL,PESCA,17,16,"R$ 12453,12"
2015,Paudalho,2610608,NORMAL,PESCA,15,15,"R$ 11260,96"
2016,Paudalho,2610608,NORMAL,PESCA,12,12,"R$ 7988,64"
2017,Paudalho,2610608,NORMAL,PESCA,11,11,"R$ 7240,64"
2018,Paudalho,2610608,NORMAL,PESCA,10,9,"R$ 6293,60"
2019,Paudalho,2610608,NORMAL,PESCA,13,12,"R$ 12607,20"
2020,Paudalho,2610608,NORMAL,PESCA,13,13,"R$ 13007,20"
2021,Paudalho,2610608,NORMAL,PESCA,13,13,"R$ 12999,20"
2012,Paulista,2610707,NORMAL,PESCA,,,"R$ 10018,00"
2013,Paulista,2610707,NORMAL,PESCA,355,348,"R$ 299834,36"
2014,Paulista,2610707,NORMAL,PESCA,449,439,"R$ 367509,60"
2015,Paulista,2610707,NORMAL,PESCA,432,431,"R$ 371243,36"
2016,Paulista,2610707,NORMAL,PESCA,336,332,"R$ 281828,00"
2017,Paulista,2610707,NORMAL,PESCA,321,321,"R$ 273614,24"
2018,Paulista,2610707,NORMAL,PESCA,269,269,"R$ 245167,60"
2019,Paulista,2610707,NORMAL,PESCA,178,165,"R$ 151273,20"
2020,Paulista,2610707,NORMAL,PESCA,178,177,"R$ 155078,80"
2021,Paulista,2610707,NORMAL,PESCA,178,177,"R$ 159425,60"
2012,Pedra,2610806,NORMAL,PESCA,,,"R$ 243868,00"
2013,Pedra,2610806,NORMAL,PESCA,75,72,"R$ 52134,32"
2014,Pedra,2610806,NORMAL,PESCA,80,80,"R$ 54554,08"
2015,Pedra,2610806,NORMAL,PESCA,83,83,"R$ 50389,76"
2016,Pedra,2610806,NORMAL,PESCA,50,50,"R$ 33611,40"
2017,Pedra,2610806,NORMAL,PESCA,46,46,"R$ 29013,92"
2018,Pedra,2610806,NORMAL,PESCA,37,35,"R$ 23951,60"
2019,Pedra,2610806,NORMAL,PESCA,6,5,"R$ 4906,00"
2020,Pedra,2610806,NORMAL,PESCA,6,5,"R$ 4906,00"
2021,Pedra,2610806,NORMAL,PESCA,6,5,"R$ 4906,00"
2012,Pesqueira,2610905,NORMAL,PESCA,,,"R$ 39120,00"
2013,Pesqueira,2610905,NORMAL,PESCA,11,11,"R$ 6624,56"
2014,Pesqueira,2610905,NORMAL,PESCA,38,37,"R$ 22937,92"
2015,Pesqueira,2610905,NORMAL,PESCA,74,74,"R$ 39278,72"
2013,Petrolândia,2611002,NORMAL,FRUTA,2,2,"R$ 1915,80"
2014,Petrolândia,2611002,NORMAL,FRUTA,1,1,"R$ 985,80"
2015,Petrolândia,2611002,NORMAL,FRUTA,2,2,"R$ 1385,80"
2016,Petrolândia,2611002,NORMAL,FRUTA,3,3,"R$ 1923,60"
2017,Petrolândia,2611002,NORMAL,FRUTA,1,1,"R$ 985,80"
2018,Petrolândia,2611002,NORMAL,FRUTA,5,5,"R$ 4737,60"
2019,Petrolândia,2611002,NORMAL,FRUTA,2,2,"R$ 1080,40"
2012,Petrolândia,2611002,NORMAL,PESCA,,,"R$ 13640,50"
2013,Petrolândia,2611002,NORMAL,PESCA,9,9,"R$ 6504,56"
2014,Petrolândia,2611002,NORMAL,PESCA,2,2,"R$ 400,00"
2015,Petrolândia,2611002,NORMAL,PESCA,1,1,"R$ 400,00"
2013,Petrolina,2611101,NORMAL,FRUTA,11712,10786,"R$ 8487104,35"
2014,Petrolina,2611101,NORMAL,FRUTA,10413,9370,"R$ 7768270,60"
2015,Petrolina,2611101,NORMAL,FRUTA,8104,7863,"R$ 6151088,40"
2016,Petrolina,2611101,NORMAL,FRUTA,7950,7787,"R$ 6292812,45"
2017,Petrolina,2611101,NORMAL,FRUTA,7300,7286,"R$ 5907252,12"
2018,Petrolina,2611101,NORMAL,FRUTA,7624,7467,"R$ 6846870,60"
2019,Petrolina,2611101,NORMAL,FRUTA,7793,7793,"R$ 6776949,90"
2020,Petrolina,2611101,NORMAL,FRUTA,5205,5022,"R$ 6776949,90"
2021,Petrolina,2611101,NORMAL,FRUTA,5205,4942,"R$ 4517622,80"
2022,Petrolina,2611101,NORMAL,FRUTA,3776,3776,"R$ 1908130,20"
2012,Petrolina,2611101,NORMAL,PESCA,,,"R$ 27070,00"
2013,Petrolina,2611101,NORMAL,PESCA,55,54,"R$ 41581,08"
2014,Petrolina,2611101,NORMAL,PESCA,68,66,"R$ 49722,40"
2015,Petrolina,2611101,NORMAL,PESCA,77,77,"R$ 53112,32"
2012,Poção,2611200,NORMAL,PESCA,,,"R$ 3248,00"
2013,Poção,2611200,NORMAL,PESCA,25,25,"R$ 16740,32"
2014,Poção,2611200,NORMAL,PESCA,37,36,"R$ 20741,12"
2015,Poção,2611200,NORMAL,PESCA,73,73,"R$ 43336,80"
2013,Pombos,2611309,NORMAL,CANA,178,175,"R$ 144550,55"
2014,Pombos,2611309,NORMAL,CANA,95,93,"R$ 80146,60"
2015,Pombos,2611309,NORMAL,CANA,75,75,"R$ 62689,80"
2016,Pombos,2611309,NORMAL,CANA,145,145,"R$ 128781,25"
2017,Pombos,2611309,NORMAL,CANA,117,117,"R$ 105905,00"
2018,Pombos,2611309,NORMAL,CANA,71,71,"R$ 65991,60"
2019,Pombos,2611309,NORMAL,CANA,71,68,"R$ 71622,80"
2020,Pombos,2611309,NORMAL,CANA,71,68,"R$ 71622,80"
2021,Pombos,2611309,NORMAL,CANA,71,68,"R$ 72663,20"
2013,Primavera,2611408,NORMAL,CANA,314,305,"R$ 246540,45"
2014,Primavera,2611408,NORMAL,CANA,353,345,"R$ 280082,75"
2015,Primavera,2611408,NORMAL,CANA,359,357,"R$ 282935,00"
2016,Primavera,2611408,NORMAL,CANA,427,422,"R$ 346931,30"
2017,Primavera,2611408,NORMAL,CANA,430,426,"R$ 350399,00"
2018,Primavera,2611408,NORMAL,CANA,496,487,"R$ 464947,90"
2019,Primavera,2611408,NORMAL,CANA,592,538,"R$ 549996,40"
2020,Primavera,2611408,NORMAL,CANA,592,538,"R$ 549996,40"
2021,Primavera,2611408,NORMAL,CANA,592,530,"R$ 539141,60"
2013,Quipapá,2611507,NORMAL,CANA,1024,1005,"R$ 793414,15"
2014,Quipapá,2611507,NORMAL,CANA,1169,1144,"R$ 875054,85"
2015,Quipapá,2611507,NORMAL,CANA,883,883,"R$ 665811,75"
2016,Quipapá,2611507,NORMAL,CANA,852,852,"R$ 679263,40"
2017,Quipapá,2611507,NORMAL,CANA,801,801,"R$ 659466,60"
2018,Quipapá,2611507,NORMAL,CANA,668,630,"R$ 636736,80"
2019,Quipapá,2611507,NORMAL,CANA,658,632,"R$ 664553,20"
2020,Quipapá,2611507,NORMAL,CANA,658,633,"R$ 664553,20"
2021,Quipapá,2611507,NORMAL,CANA,658,632,"R$ 662513,20"
2012,Recife,2611606,NORMAL,PESCA,,,"R$ 216450,50"
2013,Recife,2611606,NORMAL,PESCA,443,437,"R$ 341440,04"
2014,Recife,2611606,NORMAL,PESCA,524,516,"R$ 387768,00"
2015,Recife,2611606,NORMAL,PESCA,523,522,"R$ 529855,88"
2016,Recife,2611606,NORMAL,PESCA,494,490,"R$ 374622,72"
2017,Recife,2611606,NORMAL,PESCA,562,556,"R$ 424456,48"
2018,Recife,2611606,NORMAL,PESCA,427,426,"R$ 374044,00"
2019,Recife,2611606,NORMAL,PESCA,333,316,"R$ 275367,20"
2020,Recife,2611606,NORMAL,PESCA,333,323,"R$ 275289,00"
2021,Recife,2611606,NORMAL,PESCA,333,322,"R$ 276907,60"
2012,Riacho das Almas,2611705,NORMAL,PESCA,,,"R$ 9064,00"
2013,Riacho das Almas,2611705,NORMAL,PESCA,16,16,"R$ 11203,64"
2014,Riacho das Almas,2611705,NORMAL,PESCA,21,21,"R$ 14465,28"
2015,Riacho das Almas,2611705,NORMAL,PESCA,31,31,"R$ 22490,08"
2016,Riacho das Almas,2611705,NORMAL,PESCA,15,15,"R$ 10188,80"
2017,Riacho das Almas,2611705,NORMAL,PESCA,13,13,"R$ 9242,56"
2018,Riacho das Almas,2611705,NORMAL,PESCA,18,18,"R$ 14162,40"
2019,Riacho das Almas,2611705,NORMAL,PESCA,16,0,"R$ 0,00"
2020,Riacho das Almas,2611705,NORMAL,PESCA,16,0,"R$ 0,00"
2021,Riacho das Almas,2611705,NORMAL,PESCA,16,0,"R$ 0,00"
2013,Ribeirão,2611804,NORMAL,CANA,996,962,"R$ 803577,45"
2014,Ribeirão,2611804,NORMAL,CANA,1056,1037,"R$ 842071,95"
2015,Ribeirão,2611804,NORMAL,CANA,970,963,"R$ 807899,00"
2016,Ribeirão,2611804,NORMAL,CANA,1011,999,"R$ 878833,25"
2017,Ribeirão,2611804,NORMAL,CANA,1143,1138,"R$ 1003300,40"
2018,Ribeirão,2611804,NORMAL,CANA,1290,1277,"R$ 1231112,50"
2019,Ribeirão,2611804,NORMAL,CANA,1251,1073,"R$ 1114131,60"
2020,Ribeirão,2611804,NORMAL,CANA,1251,1070,"R$ 1114131,60"
2021,Ribeirão,2611804,NORMAL,CANA,1251,1058,"R$ 1093326,80"
2013,Rio Formoso,2611903,NORMAL,CANA,864,829,"R$ 688366,30"
2014,Rio Formoso,2611903,NORMAL,CANA,904,862,"R$ 681828,95"
2015,Rio Formoso,2611903,NORMAL,CANA,817,809,"R$ 644093,95"
2016,Rio Formoso,2611903,NORMAL,CANA,887,877,"R$ 753284,65"
2017,Rio Formoso,2611903,NORMAL,CANA,957,952,"R$ 822133,80"
2018,Rio Formoso,2611903,NORMAL,CANA,897,891,"R$ 826356,90"
2019,Rio Formoso,2611903,NORMAL,CANA,968,924,"R$ 962232,00"
2020,Rio Formoso,2611903,NORMAL,CANA,968,920,"R$ 962232,00"
2021,Rio Formoso,2611903,NORMAL,CANA,968,903,"R$ 927911,60"
2012,Rio Formoso,2611903,NORMAL,PESCA,,,"R$ 154188,00"
2013,Rio Formoso,2611903,NORMAL,PESCA,235,228,"R$ 167362,16"
2014,Rio Formoso,2611903,NORMAL,PESCA,247,246,"R$ 170699,36"
2015,Rio Formoso,2611903,NORMAL,PESCA,231,231,"R$ 153578,60"
2016,Rio Formoso,2611903,NORMAL,PESCA,199,179,"R$ 127236,84"
2017,Rio Formoso,2611903,NORMAL,PESCA,174,174,"R$ 120067,84"
2018,Rio Formoso,2611903,NORMAL,PESCA,155,155,"R$ 115665,60"
2019,Rio Formoso,2611903,NORMAL,PESCA,125,110,"R$ 87226,80"
2020,Rio Formoso,2611903,NORMAL,PESCA,125,124,"R$ 95252,40"
2021,Rio Formoso,2611903,NORMAL,PESCA,125,123,"R$ 96144,40"
2013,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,163,159,"R$ 106089,60"
2014,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,129,126,"R$ 83537,70"
2015,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,75,74,"R$ 53731,45"
2016,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,101,98,"R$ 69217,80"
2017,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,71,71,"R$ 50009,00"
2018,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,51,51,"R$ 39990,40"
2019,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,48,48,"R$ 42002,80"
2020,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,23,22,"R$ 42002,80"
2021,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,23,21,"R$ 18310,40"
2022,Santa Maria da Boa Vista,2612604,NORMAL,FRUTA,21,21,"R$ 10536,00"
2012,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,,,"R$ 160485,50"
2013,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,408,402,"R$ 318678,40"
2014,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,536,503,"R$ 366430,40"
2015,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,603,601,"R$ 419855,60"
2016,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,25,22,"R$ 14655,20"
2017,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,18,18,"R$ 14503,04"
2018,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,226,36,"R$ 30763,60"
2019,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,43,9,"R$ 6462,80"
2020,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,43,9,"R$ 6901,60"
2021,Santa Maria da Boa Vista,2612604,NORMAL,PESCA,43,9,"R$ 6506,00"
2013,São Benedito do Sul,2612901,NORMAL,CANA,497,490,"R$ 370677,60"
2014,São Benedito do Sul,2612901,NORMAL,CANA,488,476,"R$ 336311,80"
2015,São Benedito do Sul,2612901,NORMAL,CANA,389,389,"R$ 270952,15"
2016,São Benedito do Sul,2612901,NORMAL,CANA,326,326,"R$ 243617,20"
2017,São Benedito do Sul,2612901,NORMAL,CANA,330,330,"R$ 250131,20"
2018,São Benedito do Sul,2612901,NORMAL,CANA,346,345,"R$ 273366,80"
2019,São Benedito do Sul,2612901,NORMAL,CANA,267,243,"R$ 243930,80"
2020,São Benedito do Sul,2612901,NORMAL,CANA,267,244,"R$ 243930,80"
2021,São Benedito do Sul,2612901,NORMAL,CANA,267,244,"R$ 243367,60"
2013,São José da Coroa Grande,2613404,NORMAL,CANA,325,318,"R$ 253257,15"
2014,São José da Coroa Grande,2613404,NORMAL,CANA,355,352,"R$ 263410,55"
2015,São José da Coroa Grande,2613404,NORMAL,CANA,331,331,"R$ 262389,25"
2016,São José da Coroa Grande,2613404,NORMAL,CANA,286,284,"R$ 233781,40"
2017,São José da Coroa Grande,2613404,NORMAL,CANA,259,258,"R$ 212016,40"
2018,São José da Coroa Grande,2613404,NORMAL,CANA,235,234,"R$ 216826,40"
2019,São José da Coroa Grande,2613404,NORMAL,CANA,243,220,"R$ 232093,20"
2020,São José da Coroa Grande,2613404,NORMAL,CANA,243,220,"R$ 232093,20"
2021,São José da Coroa Grande,2613404,NORMAL,CANA,243,218,"R$ 228896,80"
2012,São José da Coroa Grande,2613404,NORMAL,PESCA,,,"R$ 345148,00"
2013,São José da Coroa Grande,2613404,NORMAL,PESCA,532,508,"R$ 361747,64"
2014,São José da Coroa Grande,2613404,NORMAL,PESCA,573,560,"R$ 379469,60"
2015,São José da Coroa Grande,2613404,NORMAL,PESCA,583,583,"R$ 398059,84"
2016,São José da Coroa Grande,2613404,NORMAL,PESCA,513,505,"R$ 364982,76"
2017,São José da Coroa Grande,2613404,NORMAL,PESCA,426,426,"R$ 312199,04"
2018,São José da Coroa Grande,2613404,NORMAL,PESCA,406,406,"R$ 323536,40"
2019,São José da Coroa Grande,2613404,NORMAL,PESCA,380,342,"R$ 284898,80"
2020,São José da Coroa Grande,2613404,NORMAL,PESCA,380,368,"R$ 296892,60"
2021,São José da Coroa Grande,2613404,NORMAL,PESCA,380,365,"R$ 302583,20"
2013,São Lourenço da Mata,2613701,NORMAL,CANA,310,305,"R$ 250851,50"
2014,São Lourenço da Mata,2613701,NORMAL,CANA,286,279,"R$ 220206,00"
2015,São Lourenço da Mata,2613701,NORMAL,CANA,337,335,"R$ 274447,45"
2016,São Lourenço da Mata,2613701,NORMAL,CANA,478,476,"R$ 416435,00"
2017,São Lourenço da Mata,2613701,NORMAL,CANA,579,577,"R$ 511289,00"
2018,São Lourenço da Mata,2613701,NORMAL,CANA,561,560,"R$ 548057,60"
2019,São Lourenço da Mata,2613701,NORMAL,CANA,467,462,"R$ 491106,40"
2020,São Lourenço da Mata,2613701,NORMAL,CANA,467,460,"R$ 491106,40"
2021,São Lourenço da Mata,2613701,NORMAL,CANA,467,457,"R$ 482056,40"
2013,São Vicente Ferrer,"",NORMAL,CANA,117,116,"R$ 85312,05"
2014,São Vicente Ferrer,"",NORMAL,CANA,33,33,"R$ 24542,80"
2015,São Vicente Ferrer,"",NORMAL,CANA,142,142,"R$ 92925,80"
2016,São Vicente Ferrer,"",NORMAL,CANA,152,151,"R$ 108695,85"
2017,São Vicente Ferrer,"",NORMAL,CANA,123,123,"R$ 87432,80"
2018,São Vicente Ferrer,"",NORMAL,CANA,119,119,"R$ 94436,40"
2019,São Vicente Férrer,2613800,NORMAL,CANA,108,104,"R$ 108792,80"
2020,São Vicente Férrer,2613800,NORMAL,CANA,108,106,"R$ 108792,80"
2021,São Vicente Férrer,2613800,NORMAL,CANA,108,106,"R$ 111261,60"
2012,Serra Talhada,2613909,NORMAL,PESCA,,,"R$ 21012,50"
2013,Serra Talhada,2613909,NORMAL,PESCA,61,57,"R$ 40617,60"
2014,Serra Talhada,2613909,NORMAL,PESCA,92,86,"R$ 53550,56"
2015,Serra Talhada,2613909,NORMAL,PESCA,74,74,"R$ 51446,32"
2016,Serra Talhada,2613909,NORMAL,PESCA,1,1,"R$ 438,08"
2012,Serrita,2614006,NORMAL,PESCA,,,"R$ 10566,00"
2013,Serrita,2614006,NORMAL,PESCA,14,14,"R$ 10638,88"
2014,Serrita,2614006,NORMAL,PESCA,11,11,"R$ 6562,40"
2013,Sirinhaém,2614204,NORMAL,CANA,1178,1116,"R$ 948926,00"
2014,Sirinhaém,2614204,NORMAL,CANA,1268,1207,"R$ 979820,60"
2015,Sirinhaém,2614204,NORMAL,CANA,1235,1229,"R$ 1024911,20"
2016,Sirinhaém,2614204,NORMAL,CANA,1290,1286,"R$ 1121329,25"
2017,Sirinhaém,2614204,NORMAL,CANA,1376,1374,"R$ 1174488,20"
2018,Sirinhaém,2614204,NORMAL,CANA,1245,1242,"R$ 1155318,80"
2019,Sirinhaém,2614204,NORMAL,CANA,1200,1108,"R$ 1172326,00"
2020,Sirinhaém,2614204,NORMAL,CANA,1200,1107,"R$ 1172326,00"
2021,Sirinhaém,2614204,NORMAL,CANA,1200,1093,"R$ 1149518,80"
2012,Sirinhaém,2614204,NORMAL,PESCA,,,"R$ 241429,00"
2013,Sirinhaém,2614204,NORMAL,PESCA,426,410,"R$ 300800,00"
2014,Sirinhaém,2614204,NORMAL,PESCA,631,605,"R$ 432263,32"
2015,Sirinhaém,2614204,NORMAL,PESCA,683,679,"R$ 476748,38"
2016,Sirinhaém,2614204,NORMAL,PESCA,440,419,"R$ 296562,96"
2017,Sirinhaém,2614204,NORMAL,PESCA,370,370,"R$ 257620,64"
2018,Sirinhaém,2614204,NORMAL,PESCA,374,374,"R$ 299715,20"
2019,Sirinhaém,2614204,NORMAL,PESCA,308,216,"R$ 182033,50"
2020,Sirinhaém,2614204,NORMAL,PESCA,308,286,"R$ 233058,50"
2021,Sirinhaém,2614204,NORMAL,PESCA,308,280,"R$ 228468,00"
2013,Tamandaré,2614857,NORMAL,CANA,407,387,"R$ 310495,40"
2014,Tamandaré,2614857,NORMAL,CANA,390,367,"R$ 289185,75"
2015,Tamandaré,2614857,NORMAL,CANA,415,412,"R$ 328722,40"
2016,Tamandaré,2614857,NORMAL,CANA,470,464,"R$ 382047,40"
2017,Tamandaré,2614857,NORMAL,CANA,408,407,"R$ 337797,20"
2018,Tamandaré,2614857,NORMAL,CANA,410,408,"R$ 368845,60"
2019,Tamandaré,2614857,NORMAL,CANA,350,335,"R$ 346864,00"
2020,Tamandaré,2614857,NORMAL,CANA,350,338,"R$ 346864,00"
2021,Tamandaré,2614857,NORMAL,CANA,350,336,"R$ 340017,20"
2012,Tamandaré,2614857,NORMAL,PESCA,,,"R$ 100625,50"
2013,Tamandaré,2614857,NORMAL,PESCA,154,147,"R$ 110487,76"
2014,Tamandaré,2614857,NORMAL,PESCA,215,206,"R$ 146005,36"
2015,Tamandaré,2614857,NORMAL,PESCA,240,239,"R$ 172520,80"
2016,Tamandaré,2614857,NORMAL,PESCA,171,171,"R$ 128331,28"
2017,Tamandaré,2614857,NORMAL,PESCA,149,149,"R$ 105680,48"
2018,Tamandaré,2614857,NORMAL,PESCA,151,151,"R$ 121504,00"
2019,Tamandaré,2614857,NORMAL,PESCA,7,5,"R$ 5618,00"
2020,Tamandaré,2614857,NORMAL,PESCA,7,7,"R$ 7181,20"
2021,Tamandaré,2614857,NORMAL,PESCA,7,6,"R$ 6385,60"
2013,Timbaúba,2615300,NORMAL,CANA,1262,1230,"R$ 982507,25"
2014,Timbaúba,2615300,NORMAL,CANA,900,877,"R$ 675747,95"
2015,Timbaúba,2615300,NORMAL,CANA,910,909,"R$ 699534,65"
2016,Timbaúba,2615300,NORMAL,CANA,905,905,"R$ 740590,00"
2017,Timbaúba,2615300,NORMAL,CANA,951,947,"R$ 749308,80"
2018,Timbaúba,2615300,NORMAL,CANA,824,823,"R$ 736898,80"
2019,Timbaúba,2615300,NORMAL,CANA,681,654,"R$ 697809,20"
2020,Timbaúba,2615300,NORMAL,CANA,681,657,"R$ 697809,20"
2021,Timbaúba,2615300,NORMAL,CANA,681,646,"R$ 686734,40"
2013,Tracunhaém,2615508,NORMAL,CANA,274,269,"R$ 227701,75"
2014,Tracunhaém,2615508,NORMAL,CANA,248,243,"R$ 206559,05"
2015,Tracunhaém,2615508,NORMAL,CANA,271,271,"R$ 233722,60"
2016,Tracunhaém,2615508,NORMAL,CANA,214,213,"R$ 187968,20"
2017,Tracunhaém,2615508,NORMAL,CANA,358,353,"R$ 307837,40"
2018,Tracunhaém,2615508,NORMAL,CANA,334,334,"R$ 321773,20"
2019,Tracunhaém,2615508,NORMAL,CANA,338,327,"R$ 349710,80"
2020,Tracunhaém,2615508,NORMAL,CANA,338,330,"R$ 349710,80"
2021,Tracunhaém,2615508,NORMAL,CANA,338,327,"R$ 348082,00"
2012,Venturosa,2616001,NORMAL,PESCA,,,"R$ 57390,00"
2013,Venturosa,2616001,NORMAL,PESCA,106,96,"R$ 67645,40"
2014,Venturosa,2616001,NORMAL,PESCA,95,95,"R$ 65211,36"
2015,Venturosa,2616001,NORMAL,PESCA,94,93,"R$ 57458,56"
2016,Venturosa,2616001,NORMAL,PESCA,60,60,"R$ 37521,12"
2017,Venturosa,2616001,NORMAL,PESCA,67,67,"R$ 42998,88"
2018,Venturosa,2616001,NORMAL,PESCA,55,55,"R$ 38068,40"
2019,Venturosa,2616001,NORMAL,PESCA,45,24,"R$ 18001,20"
2020,Venturosa,2616001,NORMAL,PESCA,45,29,"R$ 24049,50"
2021,Venturosa,2616001,NORMAL,PESCA,45,19,"R$ 15718,40"
2013,Vicência,2616308,NORMAL,CANA,1349,1312,"R$ 1034877,00"
2014,Vicência,2616308,NORMAL,CANA,1129,1098,"R$ 1064536,00"
2015,Vicência,2616308,NORMAL,CANA,1106,1100,"R$ 803994,95"
2016,Vicência,2616308,NORMAL,CANA,1118,1109,"R$ 849510,80"
2017,Vicência,2616308,NORMAL,CANA,1096,1091,"R$ 810554,60"
2018,Vicência,2616308,NORMAL,CANA,1081,1074,"R$ 926841,60"
2019,Vicência,2616308,NORMAL,CANA,933,914,"R$ 943442,40"
2020,Vicência,2616308,NORMAL,CANA,933,921,"R$ 943442,40"
2021,Vicência,2616308,NORMAL,CANA,933,917,"R$ 941735,60"
2013,Vitória de Santo Antão,2616407,NORMAL,CANA,317,314,"R$ 265695,45"
2014,Vitória de Santo Antão,2616407,NORMAL,CANA,195,193,"R$ 163432,20"
2015,Vitória de Santo Antão,2616407,NORMAL,CANA,376,371,"R$ 304752,80"
2016,Vitória de Santo Antão,2616407,NORMAL,CANA,383,382,"R$ 332541,20"
2017,Vitória de Santo Antão,2616407,NORMAL,CANA,376,376,"R$ 335322,60"
