Belém de São Francisco,,,,,,,
Iguaraci,,,,,,,
São Vicente Ferrer,,,,,,,
Itacuruba,Itacuruba,SERTÃO DE ITAPARICA,2607406,8,-8.7493,-38.7286,BRASIL/PERNAMBUCO/Itacuruba
Ilha de Itamaracá,Ilha de Itamaracá,RMR,2607604,6,-7.7595,-34.8544,BRASIL/PERNAMBUCO/Ilha de Itamaracá
Itambé,Itambé,MATA NORTE,2607653,4,-7.4499,-35.1343,BRASIL/PERNAMBUCO/Itambé
Itapissuma,Itapissuma,RMR,2607752,6,-7.7451,-34.9068,BRASIL/PERNAMBUCO/Itapissuma
Itaquitinga,Itaquitinga,MATA NORTE,2607802,4,-7.6864,-35.0326,BRASIL/PERNAMBUCO/Itaquitinga
Jaboatão dos Guararapes,Jaboatão dos Guararapes,RMR,2607901,6,-8.1522,-35.0033,BRASIL/PERNAMBUCO/Jaboatão dos Guararapes
Jaqueira,Jaqueira,MATA SUL,2607950,5,-8.7433,-35.8078,BRASIL/PERNAMBUCO/Jaqueira
Jatobá,Jatobá,SERTÃO DE ITAPARICA,2608057,8,-9.2078,-38.2138,BRASIL/PERNAMBUCO/Jatobá
Joaquim Nabuco,Joaquim Nabuco,MATA SUL,2608206,5,-8.5619,-35.5445,BRASIL/PERNAMBUCO/Joaquim Nabuco
Lagoa do Carro,Lagoa do Carro,MATA NORTE,2608453,4,-7.8526,-35.3367,BRASIL/PERNAMBUCO/Lagoa do Carro
Lagoa de Itaenga,Lagoa de Itaenga,MATA NORTE,2608503,4,-7.9092,-35.2948,BRASIL/PERNAMBUCO/Lagoa de Itaenga
Lagoa dos Gatos,Lagoa dos Gatos,AGRESTE CENTRAL,2608701,1,-8.6824,-35.8956,BRASIL/PERNAMBUCO/Lagoa dos Gatos
Lagoa Grande,Lagoa Grande,SERTÃO DO SÃO FRANCISCO,2608750,12,-8.7772,-40.223,BRASIL/PERNAMBUCO/Lagoa Grande
Limoeiro,Limoeiro,AGRESTE SETENTRIONAL,2608909,3,-7.8477,-35.4479,BRASIL/PERNAMBUCO/Limoeiro
Macaparana,Macaparana,MATA NORTE,2609006,4,-7.5277,-35.4502,BRASIL/PERNAMBUCO/Macaparana
Maraial,Maraial,MATA SUL,2609204,5,-8.8342,-35.7617,BRASIL/PERNAMBUCO/Maraial
Moreno,Moreno,RMR,2609402,6,-8.1438,-35.1469,BRASIL/PERNAMBUCO/Moreno
Nazaré da Mata,Nazaré da Mata,MATA NORTE,2609501,4,-7.7372,-35.2332,BRASIL/PERNAMBUCO/Nazaré da Mata
Olinda,Olinda,RMR,2609600,6,-7.9931,-34.8664,BRASIL/PERNAMBUCO/Olinda
Orocó,Orocó,SERTÃO DO SÃO FRANCISCO,2609808,12,-8.4721,-39.5911,BRASIL/PERNAMBUCO/Orocó
Palmares,Palmares,MATA SUL,2610004,5,-8.6566,-35.6299,BRASIL/PERNAMBUCO/Palmares
Parnamirim,Parnamirim,SERTÃO CENTRAL,2610400,7,-8.16,-39.77,BRASIL/PERNAMBUCO/Parnamirim
Paudalho,Paudalho,MATA NORTE,2610608,4,-7.9056,-35.1551,BRASIL/PERNAMBUCO/Paudalho
Paulista,Paulista,RMR,2610707,6,-7.9282,-34.8834,BRASIL/PERNAMBUCO/Paulista
Pedra,Pedra,AGRESTE MERIDIONAL,2610806,2,-8.6974,-36.8999,BRASIL/PERNAMBUCO/Pedra
Pesqueira,Pesqueira,AGRESTE CENTRAL,2610905,1,-8.3908,-36.7395,BRASIL/PERNAMBUCO/Pesqueira
Petrolândia,Petrolândia,SERTÃO DE ITAPARICA,2611002,8,-8.8993,-38.3079,BRASIL/PERNAMBUCO/Petrolândia
Petrolina,Petrolina,SERTÃO DO SÃO FRANCISCO,2611101,12,-9.0198,-40.5724,BRASIL/PERNAMBUCO/Petrolina
Poção,Poção,AGRESTE CENTRAL,2611200,1,-8.2248,-36.7117,BRASIL/PERNAMBUCO/Poção
Pombos,Pombos,MATA SUL,2611309,5,-8.1817,-35.3873,BRASIL/PERNAMBUCO/Pombos
Primavera,Primavera,MATA SUL,2611408,5,-8.3269,-35.3909,BRASIL/PERNAMBUCO/Primavera
Quipapá,Quipapá,MATA SUL,2611507,5,-8.8361,-36.0287,BRASIL/PERNAMBUCO/Quipapá
Recife,Recife,RMR,2611606,6,-8.0393,-34.9331,BRASIL/PERNAMBUCO/Recife
Riacho das Almas,Riacho das Almas,AGRESTE CENTRAL,2611705,1,-8.082,-35.8829,BRASIL/PERNAMBUCO/Riacho das Almas
Ribeirão,Ribeirão,MATA SUL,2611804,5,-8.5046,-35.3665,BRASIL/PERNAMBUCO/Ribeirão
Rio Formoso,Rio Formoso,MATA SUL,2611903,5,-8.6751,-35.2182,BRASIL/PERNAMBUCO/Rio Formoso
Santa Maria da Boa Vista,Santa Maria da Boa Vista,SERTÃO DO SÃO FRANCISCO,2612604,12,-8.6297,-39.9143,BRASIL/PERNAMBUCO/Santa Maria da Boa Vista
São Benedito do Sul,São Benedito do Sul,MATA SUL,2612901,5,-8.8093,-35.9067,BRASIL/PERNAMBUCO/São Benedito do Sul
São José da Coroa Grande,São José da Coroa Grande,MATA SUL,2613404,5,-8.8655,-35.1852,BRASIL/PERNAMBUCO/São José da Coroa Grande
São Lourenço da Mata,São Lourenço da Mata,RMR,2613701,6,-8.0231,-35.1041,BRASIL/PERNAMBUCO/São Lourenço da Mata
São Vicente Férrer,São Vicente Férrer,AGRESTE SETENTRIONAL,2613800,3,-7.6062,-35.49,BRASIL/PERNAMBUCO/São Vicente Férrer
Serra Talhada,Serra Talhada,SERTÃO DO PAJEÚ,2613909,11,-8.0361,-38.3697,BRASIL/PERNAMBUCO/Serra Talhada
Serrita,Serrita,SERTÃO CENTRAL,2614006,7,-7.85,-39.3816,BRASIL/PERNAMBUCO/Serrita
Sirinhaém,Sirinhaém,MATA SUL,2614204,5,-8.5719,-35.1722,BRASIL/PERNAMBUCO/Sirinhaém
Tamandaré,Tamandaré,MATA SUL,2614857,5,-8.7457,-35.23,BRASIL/PERNAMBUCO/Tamandaré
Timbaúba,Timbaúba,MATA NORTE,2615300,4,-7.5345,-35.3415,BRASIL/PERNAMBUCO/Timbaúba
Tracunhaém,Tracunhaém,MATA NORTE,2615508,4,-7.7598,-35.1611,BRASIL/PERNAMBUCO/Tracunhaém
Venturosa,Venturosa,AGRESTE MERIDIONAL,2616001,2,-8.615,-36.8053,BRASIL/PERNAMBUCO/Venturosa
Vicência,Vicência,MATA NORTE,2616308,4,-7.6595,-35.3572,BRASIL/PERNAMBUCO/Vicência
Vitória de Santo Antão,Vitória de Santo Antão,MATA SUL,2616407,5,-8.15,-35.2876,BRASIL/PERNAMBUCO/Vitória de Santo Antão
Xexéu,Xexéu,MATA SUL,2616506,5,-8.8362,-35.6533,BRASIL/PERNAMBUCO/Xexéu
